Entity,Code,Year,GDP per capita,900793-annotations
United Kingdom,GBR,1369,1373,
United Kingdom,GBR,1370,1539,
United Kingdom,GBR,1371,1489,
United Kingdom,GBR,1372,1347,
United Kingdom,GBR,1373,1458,
United Kingdom,GBR,1374,1341,
United Kingdom,GBR,1375,1294,
United Kingdom,GBR,1376,1495,
United Kingdom,GBR,1377,1539,
United Kingdom,GBR,1378,1523,
United Kingdom,GBR,1379,1398,
United Kingdom,GBR,1380,1462,
United Kingdom,GBR,1381,1500,
United Kingdom,GBR,1382,1553,
United Kingdom,GBR,1383,1485,
United Kingdom,GBR,1384,1680,
United Kingdom,GBR,1385,1532,
United Kingdom,GBR,1386,1714,
United Kingdom,GBR,1387,1728,
United Kingdom,GBR,1388,1599,
United Kingdom,GBR,1389,1656,
United Kingdom,GBR,1390,1554,
United Kingdom,GBR,1391,1743,
United Kingdom,GBR,1392,1967,
United Kingdom,GBR,1393,1630,
United Kingdom,GBR,1394,1795,
United Kingdom,GBR,1395,1723,
United Kingdom,GBR,1396,1738,
United Kingdom,GBR,1397,1705,
United Kingdom,GBR,1398,1830,
United Kingdom,GBR,1399,1762,
United Kingdom,GBR,1400,1717,
United Kingdom,GBR,1401,1696,
United Kingdom,GBR,1402,1742,
United Kingdom,GBR,1403,1770,
United Kingdom,GBR,1404,1801,
United Kingdom,GBR,1405,1805,
United Kingdom,GBR,1406,1674,
United Kingdom,GBR,1407,1677,
United Kingdom,GBR,1408,1552,
United Kingdom,GBR,1409,1607,
United Kingdom,GBR,1410,1708,
United Kingdom,GBR,1411,1673,
United Kingdom,GBR,1412,1635,
United Kingdom,GBR,1413,1483,
United Kingdom,GBR,1414,1686,
United Kingdom,GBR,1415,1726,
United Kingdom,GBR,1416,1665,
United Kingdom,GBR,1417,1821,
United Kingdom,GBR,1418,1729,
United Kingdom,GBR,1419,1821,
United Kingdom,GBR,1420,1778,
United Kingdom,GBR,1421,1661,
United Kingdom,GBR,1422,1716,
United Kingdom,GBR,1423,1812,
United Kingdom,GBR,1424,1827,
United Kingdom,GBR,1425,1765,
United Kingdom,GBR,1426,1712,
United Kingdom,GBR,1427,1668,
United Kingdom,GBR,1428,1567,
United Kingdom,GBR,1429,1622,
United Kingdom,GBR,1430,1669,
United Kingdom,GBR,1431,1681,
United Kingdom,GBR,1432,1664,
United Kingdom,GBR,1433,1717,
United Kingdom,GBR,1434,1823,
United Kingdom,GBR,1435,1623,
United Kingdom,GBR,1436,1515,
United Kingdom,GBR,1437,1457,
United Kingdom,GBR,1438,1533,
United Kingdom,GBR,1439,1605,
United Kingdom,GBR,1440,1623,
United Kingdom,GBR,1441,1438,
United Kingdom,GBR,1442,1492,
United Kingdom,GBR,1443,1808,
United Kingdom,GBR,1444,1810,
United Kingdom,GBR,1445,1564,
United Kingdom,GBR,1446,1667,
United Kingdom,GBR,1447,1711,
United Kingdom,GBR,1448,1772,
United Kingdom,GBR,1449,1629,
United Kingdom,GBR,1450,1683,
United Kingdom,GBR,1451,1685,
United Kingdom,GBR,1452,1663,
United Kingdom,GBR,1453,1676,
United Kingdom,GBR,1454,1677,
United Kingdom,GBR,1455,1663,
United Kingdom,GBR,1456,1680,
United Kingdom,GBR,1457,1536,
United Kingdom,GBR,1458,1625,
United Kingdom,GBR,1459,1599,
United Kingdom,GBR,1460,1598,
United Kingdom,GBR,1461,1603,
United Kingdom,GBR,1462,1752,
United Kingdom,GBR,1463,1772,
United Kingdom,GBR,1464,1615,
United Kingdom,GBR,1465,1567,
United Kingdom,GBR,1466,1554,
United Kingdom,GBR,1467,1600,
United Kingdom,GBR,1468,1669,
United Kingdom,GBR,1469,1645,
United Kingdom,GBR,1470,1597,
United Kingdom,GBR,1471,1525,
United Kingdom,GBR,1472,1575,
United Kingdom,GBR,1473,1560,
United Kingdom,GBR,1474,1642,
United Kingdom,GBR,1475,1592,
United Kingdom,GBR,1476,1475,
United Kingdom,GBR,1477,1541,
United Kingdom,GBR,1478,1583,
United Kingdom,GBR,1479,1672,
United Kingdom,GBR,1480,1718,
United Kingdom,GBR,1481,1640,
United Kingdom,GBR,1482,1566,
United Kingdom,GBR,1483,1641,
United Kingdom,GBR,1484,1623,
United Kingdom,GBR,1485,1532,
United Kingdom,GBR,1486,1696,
United Kingdom,GBR,1487,1548,
United Kingdom,GBR,1488,1579,
United Kingdom,GBR,1489,1612,
United Kingdom,GBR,1490,1620,
United Kingdom,GBR,1491,1632,
United Kingdom,GBR,1492,1649,
United Kingdom,GBR,1493,1620,
United Kingdom,GBR,1494,1695,
United Kingdom,GBR,1495,1659,
United Kingdom,GBR,1496,1605,
United Kingdom,GBR,1497,1710,
United Kingdom,GBR,1498,1724,
United Kingdom,GBR,1499,1728,
United Kingdom,GBR,1500,1697,
United Kingdom,GBR,1501,1633,
United Kingdom,GBR,1502,1689,
United Kingdom,GBR,1503,1757,
United Kingdom,GBR,1504,1758,
United Kingdom,GBR,1505,1773,
United Kingdom,GBR,1506,1776,
United Kingdom,GBR,1507,1740,
United Kingdom,GBR,1508,1760,
United Kingdom,GBR,1509,1837,
United Kingdom,GBR,1510,1768,
United Kingdom,GBR,1511,1799,
United Kingdom,GBR,1512,1715,
United Kingdom,GBR,1513,1785,
United Kingdom,GBR,1514,1777,
United Kingdom,GBR,1515,1820,
United Kingdom,GBR,1516,1800,
United Kingdom,GBR,1517,1800,
United Kingdom,GBR,1518,1805,
United Kingdom,GBR,1519,1784,
United Kingdom,GBR,1520,1755,
United Kingdom,GBR,1521,1791,
United Kingdom,GBR,1522,1818,
United Kingdom,GBR,1523,1847,
United Kingdom,GBR,1524,1866,
United Kingdom,GBR,1525,1848,
United Kingdom,GBR,1526,1852,
United Kingdom,GBR,1527,1713,
United Kingdom,GBR,1528,1722,
United Kingdom,GBR,1529,1741,
United Kingdom,GBR,1530,1755,
United Kingdom,GBR,1531,1689,
United Kingdom,GBR,1532,1741,
United Kingdom,GBR,1533,1725,
United Kingdom,GBR,1534,1795,
United Kingdom,GBR,1535,1665,
United Kingdom,GBR,1536,1639,
United Kingdom,GBR,1537,1758,
United Kingdom,GBR,1538,1657,
United Kingdom,GBR,1539,1780,
United Kingdom,GBR,1540,1713,
United Kingdom,GBR,1541,1659,
United Kingdom,GBR,1542,1711,
United Kingdom,GBR,1543,1649,
United Kingdom,GBR,1544,1734,
United Kingdom,GBR,1545,1680,
United Kingdom,GBR,1546,1705,
United Kingdom,GBR,1547,1841,
United Kingdom,GBR,1548,1755,
United Kingdom,GBR,1549,1678,
United Kingdom,GBR,1550,1654,
United Kingdom,GBR,1551,1604,
United Kingdom,GBR,1552,1528,
United Kingdom,GBR,1553,1781,
United Kingdom,GBR,1554,1616,
United Kingdom,GBR,1555,1599,
United Kingdom,GBR,1556,1295,
United Kingdom,GBR,1557,1419,
United Kingdom,GBR,1558,1843,
United Kingdom,GBR,1559,1744,
United Kingdom,GBR,1560,1753,
United Kingdom,GBR,1561,1778,
United Kingdom,GBR,1562,1762,
United Kingdom,GBR,1563,1913,
United Kingdom,GBR,1564,1843,
United Kingdom,GBR,1565,1839,
United Kingdom,GBR,1566,2056,
United Kingdom,GBR,1567,1920,
United Kingdom,GBR,1568,1911,
United Kingdom,GBR,1569,1895,
United Kingdom,GBR,1570,1737,
United Kingdom,GBR,1571,1737,
United Kingdom,GBR,1572,1675,
United Kingdom,GBR,1573,1914,
United Kingdom,GBR,1574,1689,
United Kingdom,GBR,1575,1876,
United Kingdom,GBR,1576,1929,
United Kingdom,GBR,1577,1630,
United Kingdom,GBR,1578,1854,
United Kingdom,GBR,1579,1820,
United Kingdom,GBR,1580,1716,
United Kingdom,GBR,1581,1654,
United Kingdom,GBR,1582,1476,
United Kingdom,GBR,1583,1661,
United Kingdom,GBR,1584,1597,
United Kingdom,GBR,1585,1396,
United Kingdom,GBR,1586,1356,
United Kingdom,GBR,1587,1502,
United Kingdom,GBR,1588,1690,
United Kingdom,GBR,1589,1474,
United Kingdom,GBR,1590,1558,
United Kingdom,GBR,1591,1568,
United Kingdom,GBR,1592,1692,
United Kingdom,GBR,1593,1792,
United Kingdom,GBR,1594,1454,
United Kingdom,GBR,1595,1453,
United Kingdom,GBR,1596,1379,
United Kingdom,GBR,1597,1316,
United Kingdom,GBR,1598,1569,
United Kingdom,GBR,1599,1788,
United Kingdom,GBR,1600,1691,
United Kingdom,GBR,1601,1671,
United Kingdom,GBR,1602,1751,
United Kingdom,GBR,1603,1849,
United Kingdom,GBR,1604,1967,
United Kingdom,GBR,1605,1752,
United Kingdom,GBR,1606,1831,
United Kingdom,GBR,1607,1660,
United Kingdom,GBR,1608,1571,
United Kingdom,GBR,1609,1812,
United Kingdom,GBR,1610,1919,
United Kingdom,GBR,1611,1757,
United Kingdom,GBR,1612,1675,
United Kingdom,GBR,1613,1612,
United Kingdom,GBR,1614,1555,
United Kingdom,GBR,1615,1681,
United Kingdom,GBR,1616,1586,
United Kingdom,GBR,1617,1749,
United Kingdom,GBR,1618,1740,
United Kingdom,GBR,1619,1586,
United Kingdom,GBR,1620,1842,
United Kingdom,GBR,1621,1832,
United Kingdom,GBR,1622,1581,
United Kingdom,GBR,1623,1568,
United Kingdom,GBR,1624,1781,
United Kingdom,GBR,1625,1798,
United Kingdom,GBR,1626,1730,
United Kingdom,GBR,1627,1733,
United Kingdom,GBR,1628,1947,
United Kingdom,GBR,1629,1430,
United Kingdom,GBR,1630,1416,
United Kingdom,GBR,1631,1451,
United Kingdom,GBR,1632,1630,
United Kingdom,GBR,1633,1501,
United Kingdom,GBR,1634,1519,
United Kingdom,GBR,1635,1571,
United Kingdom,GBR,1636,1526,
United Kingdom,GBR,1637,1476,
United Kingdom,GBR,1638,1624,
United Kingdom,GBR,1639,1640,
United Kingdom,GBR,1640,1683,
United Kingdom,GBR,1641,1499,
United Kingdom,GBR,1642,1635,
United Kingdom,GBR,1643,1725,
United Kingdom,GBR,1644,1745,
United Kingdom,GBR,1645,1511,
United Kingdom,GBR,1646,1524,
United Kingdom,GBR,1647,1515,
United Kingdom,GBR,1648,1535,
United Kingdom,GBR,1649,1508,
United Kingdom,GBR,1650,1446,
United Kingdom,GBR,1651,1527,
United Kingdom,GBR,1652,1720,
United Kingdom,GBR,1653,1920,
United Kingdom,GBR,1654,1903,
United Kingdom,GBR,1655,1982,
United Kingdom,GBR,1656,1835,
United Kingdom,GBR,1657,1727,
United Kingdom,GBR,1658,1702,
United Kingdom,GBR,1659,1441,
United Kingdom,GBR,1660,1578,
United Kingdom,GBR,1661,1610,
United Kingdom,GBR,1662,1664,
United Kingdom,GBR,1663,1959,
United Kingdom,GBR,1664,1828,
United Kingdom,GBR,1665,1907,
United Kingdom,GBR,1666,2135,
United Kingdom,GBR,1667,2196,
United Kingdom,GBR,1668,1940,
United Kingdom,GBR,1669,1991,
United Kingdom,GBR,1670,1934,
United Kingdom,GBR,1671,1873,
United Kingdom,GBR,1672,1860,
United Kingdom,GBR,1673,1897,
United Kingdom,GBR,1674,1806,
United Kingdom,GBR,1675,1853,
United Kingdom,GBR,1676,2191,
United Kingdom,GBR,1677,2029,
United Kingdom,GBR,1678,2103,
United Kingdom,GBR,1679,1963,
United Kingdom,GBR,1680,2209,
United Kingdom,GBR,1681,2004,
United Kingdom,GBR,1682,2150,
United Kingdom,GBR,1683,2323,
United Kingdom,GBR,1684,1946,
United Kingdom,GBR,1685,2110,
United Kingdom,GBR,1686,1949,
United Kingdom,GBR,1687,2169,
United Kingdom,GBR,1688,2333,
United Kingdom,GBR,1689,2233,
United Kingdom,GBR,1690,2386,
United Kingdom,GBR,1691,2400,
United Kingdom,GBR,1692,2595,
United Kingdom,GBR,1693,2197,
United Kingdom,GBR,1694,2616,
United Kingdom,GBR,1695,2502,
United Kingdom,GBR,1696,2392,
United Kingdom,GBR,1697,2361,
United Kingdom,GBR,1698,2417,
United Kingdom,GBR,1699,2324,
United Kingdom,GBR,1700,2412,
United Kingdom,GBR,1701,2613,
United Kingdom,GBR,1702,2526,
United Kingdom,GBR,1703,2345,
United Kingdom,GBR,1704,2778,
United Kingdom,GBR,1705,2630,
United Kingdom,GBR,1706,2220,
United Kingdom,GBR,1707,2485,
United Kingdom,GBR,1708,2636,
United Kingdom,GBR,1709,2278,
United Kingdom,GBR,1710,2066,
United Kingdom,GBR,1711,2255,
United Kingdom,GBR,1712,2257,
United Kingdom,GBR,1713,2157,
United Kingdom,GBR,1714,2364,
United Kingdom,GBR,1715,2294,
United Kingdom,GBR,1716,2367,
United Kingdom,GBR,1717,2483,
United Kingdom,GBR,1718,2606,
United Kingdom,GBR,1719,2542,
United Kingdom,GBR,1720,2715,
United Kingdom,GBR,1721,2611,
United Kingdom,GBR,1722,2636,
United Kingdom,GBR,1723,2563,
United Kingdom,GBR,1724,2528,
United Kingdom,GBR,1725,2585,
United Kingdom,GBR,1726,2483,
United Kingdom,GBR,1727,2455,
United Kingdom,GBR,1728,2554,
United Kingdom,GBR,1729,2452,
United Kingdom,GBR,1730,2538,
United Kingdom,GBR,1731,2499,
United Kingdom,GBR,1732,2654,
United Kingdom,GBR,1733,2699,
United Kingdom,GBR,1734,2662,
United Kingdom,GBR,1735,2576,
United Kingdom,GBR,1736,2745,
United Kingdom,GBR,1737,2582,
United Kingdom,GBR,1738,2619,
United Kingdom,GBR,1739,2584,
United Kingdom,GBR,1740,2526,
United Kingdom,GBR,1741,2595,
United Kingdom,GBR,1742,2683,
United Kingdom,GBR,1743,2621,
United Kingdom,GBR,1744,2565,
United Kingdom,GBR,1745,2577,
United Kingdom,GBR,1746,2641,
United Kingdom,GBR,1747,2750,
United Kingdom,GBR,1748,2713,
United Kingdom,GBR,1749,2681,
United Kingdom,GBR,1750,2702,
United Kingdom,GBR,1751,2627,
United Kingdom,GBR,1752,2738,
United Kingdom,GBR,1753,2743,
United Kingdom,GBR,1754,2648,
United Kingdom,GBR,1755,2710,
United Kingdom,GBR,1756,2643,
United Kingdom,GBR,1757,2783,
United Kingdom,GBR,1758,2815,
United Kingdom,GBR,1759,2850,
United Kingdom,GBR,1760,2915,
United Kingdom,GBR,1761,3011,
United Kingdom,GBR,1762,2917,
United Kingdom,GBR,1763,2914,
United Kingdom,GBR,1764,2898,
United Kingdom,GBR,1765,2853,
United Kingdom,GBR,1766,2879,
United Kingdom,GBR,1767,2891,
United Kingdom,GBR,1768,2911,
United Kingdom,GBR,1769,3056,
United Kingdom,GBR,1770,2952,
United Kingdom,GBR,1771,2989,
United Kingdom,GBR,1772,2890,
United Kingdom,GBR,1773,2920,
United Kingdom,GBR,1774,2834,
United Kingdom,GBR,1775,2895,
United Kingdom,GBR,1776,2962,
United Kingdom,GBR,1777,3017,
United Kingdom,GBR,1778,2966,
United Kingdom,GBR,1779,2931,
United Kingdom,GBR,1780,3049,
United Kingdom,GBR,1781,3102,
United Kingdom,GBR,1782,3048,
United Kingdom,GBR,1783,3027,
United Kingdom,GBR,1784,3009,
United Kingdom,GBR,1785,2962,
United Kingdom,GBR,1786,2981,
United Kingdom,GBR,1787,2898,
United Kingdom,GBR,1788,2861,
United Kingdom,GBR,1789,2888,
United Kingdom,GBR,1790,3072,
United Kingdom,GBR,1791,3046,
United Kingdom,GBR,1792,3134,
United Kingdom,GBR,1793,3051,
United Kingdom,GBR,1794,2925,
United Kingdom,GBR,1795,3207,
United Kingdom,GBR,1796,3233,
United Kingdom,GBR,1797,3167,
United Kingdom,GBR,1798,3161,
United Kingdom,GBR,1799,3207,
United Kingdom,GBR,1800,3343,
United Kingdom,GBR,1801,3351,
United Kingdom,GBR,1802,3360,
United Kingdom,GBR,1803,3252,
United Kingdom,GBR,1804,3204,
United Kingdom,GBR,1805,3347,
United Kingdom,GBR,1806,3287,
United Kingdom,GBR,1807,3454,
United Kingdom,GBR,1808,3250,
United Kingdom,GBR,1809,3309,
United Kingdom,GBR,1810,3478,
United Kingdom,GBR,1811,3397,
United Kingdom,GBR,1812,3207,
United Kingdom,GBR,1813,3328,
United Kingdom,GBR,1814,3204,
United Kingdom,GBR,1815,3489,
United Kingdom,GBR,1816,3250,
United Kingdom,GBR,1817,3253,
United Kingdom,GBR,1818,3201,
United Kingdom,GBR,1819,3103,
United Kingdom,GBR,1820,3306,
United Kingdom,GBR,1821,3308,
United Kingdom,GBR,1822,3315,
United Kingdom,GBR,1823,3359,
United Kingdom,GBR,1824,3492,
United Kingdom,GBR,1825,3521,
United Kingdom,GBR,1826,3290,
United Kingdom,GBR,1827,3499,
United Kingdom,GBR,1828,3461,
United Kingdom,GBR,1829,3443,
United Kingdom,GBR,1830,3550,
United Kingdom,GBR,1831,3545,
United Kingdom,GBR,1832,3612,
United Kingdom,GBR,1833,3599,
United Kingdom,GBR,1834,3639,
United Kingdom,GBR,1835,3861,
United Kingdom,GBR,1836,3937,
United Kingdom,GBR,1837,3857,
United Kingdom,GBR,1838,3963,
United Kingdom,GBR,1839,3881,
United Kingdom,GBR,1840,4018,
United Kingdom,GBR,1841,3894,
United Kingdom,GBR,1842,3808,
United Kingdom,GBR,1843,3950,
United Kingdom,GBR,1844,4245,
United Kingdom,GBR,1845,4387,
United Kingdom,GBR,1846,4334,
United Kingdom,GBR,1847,4234,
United Kingdom,GBR,1848,4361,
United Kingdom,GBR,1849,4422,
United Kingdom,GBR,1850,4332,
United Kingdom,GBR,1851,4477,
United Kingdom,GBR,1852,4626,
United Kingdom,GBR,1853,4734,
United Kingdom,GBR,1854,4909,
United Kingdom,GBR,1855,4748,
United Kingdom,GBR,1856,5013,
United Kingdom,GBR,1857,5019,
United Kingdom,GBR,1858,4879,
United Kingdom,GBR,1859,5031,
United Kingdom,GBR,1860,5086,
United Kingdom,GBR,1861,5024,
United Kingdom,GBR,1862,4764,
United Kingdom,GBR,1863,5165,
United Kingdom,GBR,1864,5255,
United Kingdom,GBR,1865,5333,
United Kingdom,GBR,1866,5451,
United Kingdom,GBR,1867,5424,
United Kingdom,GBR,1868,5636,
United Kingdom,GBR,1869,5635,
United Kingdom,GBR,1870,5829,
United Kingdom,GBR,1871,5797,
United Kingdom,GBR,1872,5769,
United Kingdom,GBR,1873,5842,
United Kingdom,GBR,1874,5874,
United Kingdom,GBR,1875,5950,
United Kingdom,GBR,1876,5938,
United Kingdom,GBR,1877,5923,
United Kingdom,GBR,1878,5879,
United Kingdom,GBR,1879,5786,
United Kingdom,GBR,1880,5997,
United Kingdom,GBR,1881,6146,
United Kingdom,GBR,1882,6269,
United Kingdom,GBR,1883,6264,
United Kingdom,GBR,1884,6220,
United Kingdom,GBR,1885,6132,
United Kingdom,GBR,1886,6170,
United Kingdom,GBR,1887,6358,
United Kingdom,GBR,1888,6585,
United Kingdom,GBR,1889,6876,
United Kingdom,GBR,1890,6845,
United Kingdom,GBR,1891,6781,
United Kingdom,GBR,1892,6553,
United Kingdom,GBR,1893,6486,
United Kingdom,GBR,1894,6851,
United Kingdom,GBR,1895,6996,
United Kingdom,GBR,1896,7211,
United Kingdom,GBR,1897,7229,
United Kingdom,GBR,1898,7500,
United Kingdom,GBR,1899,7729,
United Kingdom,GBR,1900,7594,
United Kingdom,GBR,1901,7516,
United Kingdom,GBR,1902,7635,
United Kingdom,GBR,1903,7482,
United Kingdom,GBR,1904,7455,
United Kingdom,GBR,1905,7603,
United Kingdom,GBR,1906,7782,
United Kingdom,GBR,1907,7855,
United Kingdom,GBR,1908,7461,
United Kingdom,GBR,1909,7557,
United Kingdom,GBR,1910,7718,
United Kingdom,GBR,1911,7874,
United Kingdom,GBR,1912,7954,
United Kingdom,GBR,1913,8212,
United Kingdom,GBR,1914,8131,
United Kingdom,GBR,1915,8639,
United Kingdom,GBR,1916,8702,
United Kingdom,GBR,1917,8665,
United Kingdom,GBR,1918,8630,
United Kingdom,GBR,1919,7605,
United Kingdom,GBR,1920,7017,
United Kingdom,GBR,1921,6792,
United Kingdom,GBR,1922,7391,
United Kingdom,GBR,1923,7587,
United Kingdom,GBR,1924,7844,
United Kingdom,GBR,1925,8199,
United Kingdom,GBR,1926,7868,
United Kingdom,GBR,1927,8472,
United Kingdom,GBR,1928,8539,
United Kingdom,GBR,1929,8772,
United Kingdom,GBR,1930,8673,
United Kingdom,GBR,1931,8190,
United Kingdom,GBR,1932,8206,
United Kingdom,GBR,1933,8411,
United Kingdom,GBR,1934,8939,
United Kingdom,GBR,1935,9244,
United Kingdom,GBR,1936,9620,
United Kingdom,GBR,1937,9911,
United Kingdom,GBR,1938,9988,
United Kingdom,GBR,1939,9982,
United Kingdom,GBR,1940,10928,
United Kingdom,GBR,1941,11926,
United Kingdom,GBR,1942,12176,
United Kingdom,GBR,1943,12344,
United Kingdom,GBR,1944,11803,
United Kingdom,GBR,1945,11247,
United Kingdom,GBR,1946,10751,
United Kingdom,GBR,1947,10527,
United Kingdom,GBR,1948,10753,
United Kingdom,GBR,1949,11088,
United Kingdom,GBR,1950,11061,
United Kingdom,GBR,1951,11354,
United Kingdom,GBR,1952,11303,
United Kingdom,GBR,1953,11709,
United Kingdom,GBR,1954,12145,
United Kingdom,GBR,1955,12541,
United Kingdom,GBR,1956,12639,
United Kingdom,GBR,1957,12779,
United Kingdom,GBR,1958,12698,
United Kingdom,GBR,1959,13134,
United Kingdom,GBR,1960,13780,
United Kingdom,GBR,1961,14118,
United Kingdom,GBR,1962,14131,
United Kingdom,GBR,1963,14583,
United Kingdom,GBR,1964,15251,
United Kingdom,GBR,1965,15545,
United Kingdom,GBR,1966,15757,
United Kingdom,GBR,1967,16018,
United Kingdom,GBR,1968,16593,
United Kingdom,GBR,1969,16820,
United Kingdom,GBR,1970,17162,
United Kingdom,GBR,1971,17440,
United Kingdom,GBR,1972,18002,
United Kingdom,GBR,1973,19168,
United Kingdom,GBR,1974,18903,
United Kingdom,GBR,1975,18884,
United Kingdom,GBR,1976,19311,
United Kingdom,GBR,1977,19740,
United Kingdom,GBR,1978,20448,
United Kingdom,GBR,1979,20988,
United Kingdom,GBR,1980,20612,
United Kingdom,GBR,1981,20319,
United Kingdom,GBR,1982,20650,
United Kingdom,GBR,1983,21366,
United Kingdom,GBR,1984,21869,
United Kingdom,GBR,1985,22579,
United Kingdom,GBR,1986,23498,
United Kingdom,GBR,1987,24536,
United Kingdom,GBR,1988,25679,
United Kingdom,GBR,1989,26164,
United Kingdom,GBR,1990,26189,
United Kingdom,GBR,1991,25792.014,
United Kingdom,GBR,1992,25790.186,
United Kingdom,GBR,1993,26349.342,
United Kingdom,GBR,1994,27277.543,
United Kingdom,GBR,1995,27861.215,
United Kingdom,GBR,1996,28472.248,
United Kingdom,GBR,1997,29259.764,
United Kingdom,GBR,1998,30077.385,
United Kingdom,GBR,1999,30932.537,
United Kingdom,GBR,2000,31946.037,
United Kingdom,GBR,2001,32660.441,
United Kingdom,GBR,2002,33271.3,
United Kingdom,GBR,2003,34232.426,
United Kingdom,GBR,2004,34865.78,
United Kingdom,GBR,2005,35623.625,
United Kingdom,GBR,2006,36214.07,
United Kingdom,GBR,2007,36816.676,
United Kingdom,GBR,2008,36264.79,
United Kingdom,GBR,2009,34402.36,
United Kingdom,GBR,2010,34754.473,
United Kingdom,GBR,2011,34971,
United Kingdom,GBR,2012,35243.64,
United Kingdom,GBR,2013,35660.56,
United Kingdom,GBR,2014,36521.86,
United Kingdom,GBR,2015,37101.227,
United Kingdom,GBR,2016,37593.906,
United Kingdom,GBR,2017,38283.938,
United Kingdom,GBR,2018,38704.6,
United Kingdom,GBR,2019,39113.01,
United Kingdom,GBR,2020,34651.184,
United Kingdom,GBR,2021,37134.33,
